"country","year","democracy","GDP","Status","fiw","lndn13","logGDP","GDP_growth","ntl_growth"
"Afghanistan",1992,0,NA,"NF",5,-3.6176536,NA,NA,NA
"Afghanistan",1993,0,NA,"NF",6,-3.9386485,NA,NA,-0.3209949
"Afghanistan",1994,0,NA,"NF",6,-3.8534727,NA,NA,0.0851758
"Afghanistan",1995,0,NA,"NF",6,-3.5551238,NA,NA,0.2983489
"Afghanistan",1996,0,NA,"NF",6,-3.5520501,NA,NA,0.00307369999999985
"Afghanistan",1997,0,NA,"NF",6,-3.8120928,NA,NA,-0.2600427
"Afghanistan",1998,0,NA,"NF",6,-3.4707062,NA,NA,0.3413866
"Afghanistan",1999,0,NA,"NF",6,-3.7417908,NA,NA,-0.2710846
"Afghanistan",2000,0,NA,"NF",6,-3.4296947,NA,NA,0.3120961
"Afghanistan",2001,0,NA,"NF",6,-3.6705751,NA,NA,-0.2408804
"Afghanistan",2002,0,1.8547e+11,"NF",5,-3.1316476,25.9461589808476,NA,0.5389275
"Afghanistan",2003,0,2.01132e+11,"NF",5,-3.0509334,26.0272272458795,0.0810682650319272,0.0807142000000001
"Afghanistan",2004,0,2.03255e+11,"NF",4.5,-2.5884616,26.0377271853178,0.010499939438219,0.4624718
"Afghanistan",2005,0,2.25969e+11,"PF",4,-2.3812006,26.1436636586687,0.10593647335094,0.207261
"Afghanistan",2006,0,2.3852e+11,"PF",4,-2.3668916,26.1977190012013,0.0540553425326245,0.0143089999999999
"Afghanistan",2007,0,2.71293e+11,"PF",4,-2.3078375,26.3264652545829,0.128746253381571,0.0590541
"Afghanistan",2008,0,2.8109e+11,"NF",4.5,-2.3422456,26.3619407396975,0.0354754851145813,-0.0344080999999998
"Afghanistan",2009,0,3.40177e+11,"NF",5,-2.2538278,26.5527319073329,0.190791167635396,0.0884178000000002
"Afghanistan",2010,0,3.68865e+11,"NF",5,-1.6550907,26.6336965603876,0.0809646530547568,0.5987371
"Afghanistan",2011,0,3.91416e+11,"NF",5,-1.7559271,26.6930367699691,0.0593402095815136,-0.1008364
"Afghanistan",2012,0,4.47916e+11,"NF",5,-1.5664774,26.8278715517811,0.134834781811936,0.1894497
"Afghanistan",2013,0,4.6688e+11,"NF",5,-1.6589947,26.8693381022808,0.0414665504997593,-0.0925173000000001
"Albania",1992,1,2.14609e+11,"PF",2.5,-1.3897488,26.0920836047538,NA,NA
"Albania",1993,1,2.35212e+11,"PF",2,-0.38457862,26.1837530720776,0.0916694673237224,1.00517018
"Albania",1994,1,2.54734e+11,"PF",2.5,0.0085609816,26.2634857004036,0.0797326283260631,0.3931396016
"Albania",1995,1,2.88614e+11,"PF",2.5,0.35368454,26.3883559921581,0.124870291754505,0.3451235584
"Albania",1996,1,3.14878e+11,"PF",3,0.21729784,26.4754510991641,0.0870951070059931,-0.1363867
"Albania",1997,1,2.8276e+11,"PF",3,0.12168115,26.3678643182492,-0.107586780914946,-0.09561669
"Albania",1998,1,3.18671e+11,"PF",3.5,0.25743756,26.4874250595636,0.119560741314441,0.13575641
"Albania",1999,1,3.50857e+11,"PF",3.5,0.4186919,26.5836445699919,0.0962195104283197,0.16125434
"Albania",2000,1,3.76469e+11,"PF",3.5,0.63599277,26.6541015434791,0.0704569734871328,0.21730087
"Albania",2001,1,4.02822e+11,"PF",2.5,0.61187977,26.7217606139756,0.0676590704965356,-0.0241129999999999
"Albania",2002,1,4.14504e+11,"PF",2,0.72442663,26.7503484616561,0.0285878476805443,0.11254686
"Albania",2003,1,4.38131e+11,"PF",2,0.57843935,26.8057837893633,0.0554353277071833,-0.14598728
"Albania",2004,1,4.6398e+11,"PF",2,0.68274051,26.8631072847954,0.0573234954320903,0.10430116
"Albania",2005,1,4.89499e+11,"PF",2,0.71014887,26.916648256014,0.0535409712185597,0.02740836
"Albania",2006,1,5.13974e+11,"PF",2,0.71494037,26.9654385174646,0.0487902614506197,0.00479149999999995
"Albania",2007,1,5.44299e+11,"PF",2,0.77792811,27.0227645651628,0.0573260476981652,0.06298774
