"country","year","democracy","GDP","Status","fiw","lndn13","logGDP","GDP_growth","ntl_growth","GDP_growth_avg","ntl_growth_avg"
"Afghanistan",2013,0,4.6688e+11,"NF",5,-1.6589947,26.8693381022808,0.0414665504997593,-0.0925173000000001,0.0839253746757478,0.0932694714285714
"Albania",2013,1,6.62445e+11,"PF",2,1.2917199,27.2192033724926,0.0129158146665063,0.0807222999999999,0.0536723698923228,0.127688985714286
"Algeria",2013,0,4.06322e+11,"NF",4.5,-0.14564943,26.7304117856561,0.0266412418380177,0.00592724,0.0303690739426105,0.0280952623809524
"Andorra",2013,1,NA,"F",0,3.0959613,NA,NA,0.0592551000000001,0.0453028968162972,0.0202630238095238
"Angola",2013,0,1.52361e+12,"NF",4.5,-1.6525681,28.0521036349318,0.0397939899869719,0.00519119999999984,0.0647577557296061,0.0777696904761905
"Antigua & Barbuda",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",2013,1,8.69739e+11,"F",1,0.046496969,27.491459003586,0.0290849677371092,-0.015776597,0.0336913065972673,0.0503833128095238
"Armenia",2013,0,2.00117e+12,"PF",3.5,1.1407323,28.3247531254427,0.0344053494302443,-0.125828,0.0567436537689208,0.0697963257142857
"Australia",2013,1,1.5256e+12,"F",0,-1.4502538,28.0534088912326,0.0262527237922683,-0.0413135,0.0336874279087364,0.0249686952380952
"Austria",2013,1,2.72411e+11,"F",0,2.2283204,26.3305777921979,0.0031840837554995,-0.14137,0.0189893844951423,0.032325719047619
"Azerbaijan",2013,0,2.0542e+10,"NF",5,1.2299558,23.74573740769,0.056348939110979,-0.0386552,0.0573664067780594,0.0275647842857143
"Bahamas",2013,1,NA,"F",0,NA,NA,NA,NA,NA,NA
"Bahrain",2013,0,5538490288,"NF",5,NA,22.4349877893763,0.053445975640301,NA,0.047526519907445,NA
"Bangladesh",2013,1,4.3372e+12,"PF",2.5,1.0414703,29.0982500945444,0.0585544326044278,-0.0243206999999999,0.05411844841446,0.0275326871428571
"Barbados",2013,1,NA,"F",0,3.5189846,NA,NA,-0.0247427999999998,0.0164813980626979,0.016143119047619
"Belarus",2013,0,2.02077e+13,"NF",5.5,1.2200001,30.6370848358208,0.00890246781455417,-0.2622607,0.0374685516131707,0.0206444014285714
"Belgium",2013,1,3.27776e+11,"F",0,3.42046,26.5155962852005,0.00196363221946427,-0.0524886000000002,0.0163207188354091,0.00761881428571427
"Belize",2013,1,2.633e+09,"F",0.5,0.28198257,21.6913897174606,0.00685978299728518,-0.03731421,0.0390550653611857,0.091921689047619
"Benin",2013,1,1.36216e+12,"F",1,-0.994205,27.9400927910588,0.054483721794881,-0.05052495,0.0427204465123574,0.0570629666666667
"Bhutan",2013,1,54167500000,"PF",2.5,-1.0815934,24.7153469345451,0.0486175850776576,0.1041474,0.0692286451039592,0.100491004761905
"Bolivia",2013,1,3.8488e+10,"PF",2,-1.3363913,24.3736123413436,0.0655592594707244,0.0244552,0.0402631269607018,0.0413966142857143
"Bosnia-Herzegovina",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",2013,1,78015900000,"F",1.5,-1.9903221,25.080178489016,0.0572993452702555,-0.0495791999999999,0.0433990297020501,0.063135319047619
"Brazil",2013,1,1.78951e+12,"F",1,0.15214777,28.21296295529,0.0246143819440334,-0.04524779,0.0312943658385177,0.0462758738095238
"Brunei",2013,0,NA,"NF",4.5,NA,NA,NA,NA,NA,NA
"Bulgaria",2013,1,4.6932e+10,"F",1,1.4173907,24.5719655825078,0.00894640301331506,-0.1845667,0.022632771623773,0.0236554680952381
"Burkina Faso",2013,0,4.10106e+12,"PF",3,-1.698319,29.0422665928094,0.0632502536951165,-0.00298219999999993,0.0572924985524456,0.0756793666666667
"Burundi",2013,0,1.70438e+12,"PF",4,-1.3774736,28.1642225241687,0.0437383478381541,-0.1601521,0.00923117787349543,0.0423605571428571
"Cambodia",2013,0,3.75393e+13,"NF",4.5,-0.73904473,31.2564095001363,0.0719449925937816,0.69305167,0.0741399761518867,0.147200284285714
"Cameroon",2013,0,1.05534e+13,"NF",5,-2.0045304,29.9874691988127,0.0535430410792337,-0.0994882000000001,0.0320937099438718,0.034771819047619
"Canada",2013,1,1.59867e+12,"F",0,0.065078445,28.1001931494944,0.0200218335153082,0.130263254,0.0259736357405248,0.02424015828
"Cape Verde",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",2013,0,6.88913e+11,"NF",6,-5.0237899,27.2583808300309,-0.446290296059939,-0.0915827999999994,0.0116221193581853,-0.00824771904761905
"Chad",2013,0,5.0171e+12,"NF",5.5,-3.6273191,29.2438731934624,0.0353672714010322,0.1417687,0.0573146406730341,0.105641147619048
"Chile",2013,1,1.14022e+14,"F",0,0.031793706,32.3674125281605,0.0399373228411903,0.009436389,0.0454349137018648,0.0604757288571429
"China",2013,0,3.40561e+13,"NF",5.5,1.0065296,31.1590302807902,0.0739126122555618,0.0855801399999999,0.0979484047043142,0.0650605233333333
"Colombia",2013,1,4.9095e+14,"PF",2.5,0.23775764,33.8273634055438,0.0416901616067236,-0.03603484,0.0350271545539814,0.038552230952381
"Comoros",2013,1,1.01303e+11,"PF",2.5,-0.33071473,25.3413818627675,0.0345797139241242,-0.287486573,0.0176724718999031,0.0383163461904762
"Congo (Brazzaville)",2013,0,NA,"NF",4.5,NA,NA,NA,NA,NA,NA
"Congo (Kinshasa)",2013,0,NA,"NF",5,NA,NA,NA,NA,NA,NA
"Costa Rica",2013,1,2.47809e+12,"F",0,1.7055056,28.5385092180885,0.0343763068798175,0.0537455,0.0452984069526775,0.0599807723809524
"Cote d'Ivoire",2013,0,8.47266e+12,"PF",3.5,-0.4129619,29.767865624876,0.083413322699883,0.02173197,0.0219116327740107,0.0766764857142857
"Croatia",2013,1,2.645e+11,"F",0.5,2.1938376,26.3011070882448,-0.0100513944540737,-0.1439186,0.0209404029859673,0.0744305090476191
"Cuba",2013,0,NA,"NF",5.5,0.99435055,NA,NA,-0.0565829499999999,0.0329721629115554,0.0646814828571429
"Cyprus",2013,1,12137092561,"F",0,2.6755748,23.2195321013907,-0.0555127099483848,-0.0117458999999998,0.0245814713937424,0.0294082285714286
"Czech Republic",2013,1,3.55144e+12,"F",0,2.4251776,28.8983742709715,-0.00938300355737098,-0.2941389,0.0243801253001387,0.00890708095238095
"Czechoslovakia",2013,0,NA,"-",NA,NA,NA,NA,NA,NA,NA
"Denmark",2013,1,1.5575e+12,"F",0,2.3170135,28.074103087608,0.00416274531236382,-0.1514845,0.0140048466032454,0.00964989047619048
"Djibouti",2013,0,1.13213e+11,"NF",4.5,-1.3582755,25.4525368371112,0.0487892808790349,0.0875353000000001,0.0183952996422784,0.0551046714285714
"Dominica",2013,1,1.159e+09,"F",0,1.2617429,20.870823401304,-0.00773532004842181,-0.1622508,0.0174515550249797,0.0709586866666667
"Dominican Republic",2013,1,4.16942e+11,"F",1.5,1.5423306,26.7562129603425,0.0398389278185931,0.00872650000000008,0.0532067007303615,0.0486681590476191
"Ecuador",2013,1,66219530000,"PF",2,1.1475419,24.9162412714867,0.0392207131532807,-0.0095320000000001,0.0333389138288761,0.056699193
"Egypt",2013,0,NA,"NF",4.5,NA,NA,NA,NA,NA,NA
"El Salvador",2013,1,9610100000,"F",1.5,1.7817537,22.9860804657017,0.0166200092487969,-0.0202437,0.0279118127059894,0.0396608614285714
"Equatorial Guinea",2013,0,5.02071e+12,"NF",6,NA,29.2445924738943,-0.0501425960394606,NA,0.183563600046579,NA
"Eritrea",2013,0,8.747e+09,"NF",6,-2.7938704,22.8919766213841,0.0132345564818834,-0.252412,0.035679680745537,0.0484692380952381
"Estonia",2013,1,12831114130,"F",0,1.449737,23.2751388496837,0.00827215416214599,-0.2122653,0.0417177890402177,0.0715114231578947
"Ethiopia",2013,0,6.06734e+11,"NF",5,-2.4047322,27.1313563112013,0.0985995600626559,-0.0131950000000001,0.0739498986281599,0.0762686761904762
"Fiji",2013,0,5.484e+09,"PF",4,-0.31987271,22.4251005986465,0.0269837107177366,0.13018265,0.0188473451131117,0.0219144552380952
"Finland",2013,1,1.64795e+11,"F",0,1.9203056,25.8279681141557,-0.0138901583920656,-0.0412465,0.0227025478253263,0.02782535
"France",2013,1,1.81269e+12,"F",0,2.4218495,28.2258330457674,0.00213723086397621,-0.0292408000000002,0.0144293253146768,0.0235076047619048
"Gabon",2013,0,2.47007e+12,"NF",4.5,-1.2485964,28.5352676062478,0.0572029479824607,-0.1856414,0.0244840849645175,0.0183559
"Gambia",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",2013,1,9.907e+09,"PF",2,0.71490908,23.0165074149373,0.0312701678821448,-0.08426577,0.0293175995471402,0.0361774877619048
"Germany",2013,1,2.48243e+12,"F",0,2.6119664,28.5402590350865,0.00431151736286139,-0.1173372,0.012508040531362,0.0133492380952381
